tournament;short;importants;escalation
Англия — Премьер-лига.;АПЛ;Зеленый;1
Испания — Примера. ;Чемпионат Испании;Зеленый;1
Италия — Серия А. ;Чемпионат Италии;Зеленый;0
Германия — Бундеслига. ;Чемпионат Германии;Зеленый;0
Франция — Лига 1. ;Чемпионат Франции;Зеленый;0
Фонбет Чемпионат КХЛ ;КХЛ ;Зеленый;0
Лига чемпионов. ;Лига Чемпионов;Красный;0
Англия — Чемпионшип. ;Чемпионат Англии ;Зеленый;0
Лига Европы. ;Лига Европы ;Красный;0
Лига конференций. ;Лига Конференций ;Красный;0
Товарищеские матчи (сборные) — 2025. ;FIFA ;Желтый;0
ЧМ-2026 — Европа.;ЧМ-2026;Желтый;0
Российская Премьер-лига;РПЛ;Зеленый;1
ЧМ-2027 — Европа;ЧМ-2027 ;Желтый;0
CS 2. ESL Pro League;CS 2. ESL Pro League;Зеленый;0
Dota 2. DreamLeague ;Dota 2. DreamLeague ;Зеленый;0
Fonbet Кубок России.;Кубок России;Зеленый;0
Лига наций УЕФА. ;Лига наций УЕФА;Желтый;0
Кубок Англии.;Кубок Англии;Зеленый;0
Dota 2. PGL Wallachia;Dota 2. PGL Wallachia;Зеленый;0
